day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
212,daily_max_wait,Espera maxima diaria (mod),30,25.0,39.0,34.03333333333333,3.718391692870615,0.6788823359416858,32.645018956332585,35.42164771033408
212,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
212,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
212,daily_peak_pharmacy,Peak farmacia,30,9.0,9.0,9.0,0.0,0.0,9.0,9.0
213,daily_sessions,Sesiones por dia,30,30.0,47.0,39.46666666666667,4.454624356881234,0.8132994151585984,37.803469362667336,41.129863970666
213,daily_unique_patients,Pacientes unicos por dia,30,30.0,47.0,39.46666666666667,4.454624356881234,0.8132994151585984,37.803469362667336,41.129863970666
213,daily_treatment_modules,Modulos tratamiento por dia,30,465.0,716.0,617.3666666666667,70.85754690943646,12.936758937259606,590.9109946399708,643.8223386933626
213,daily_extra_modules,Modulos extra por dia,30,0.0,67.0,19.0,20.336818996503652,3.712978170761542,11.406959640792646,26.593040359207354
213,daily_avg_wait,Espera promedio diaria (mod),30,12.366666666666667,19.40909090909091,16.99339205478572,1.9952124826414055,0.36427429458619415,16.24845112235695,17.738332987214488
213,daily_max_wait,Espera maxima diaria (mod),30,23.0,40.0,35.0,3.9128435731046296,0.7143842296595067,33.539084250346306,36.460915749653694
213,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
213,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
213,daily_peak_pharmacy,Peak farmacia,30,9.0,9.0,9.0,0.0,0.0,9.0,9.0
214,daily_sessions,Sesiones por dia,30,23.0,45.0,38.2,5.448188563246472,0.9946985912105847,36.165841380974356,40.23415861902565
214,daily_unique_patients,Pacientes unicos por dia,30,23.0,45.0,38.2,5.448188563246472,0.9946985912105847,36.165841380974356,40.23415861902565
214,daily_treatment_modules,Modulos tratamiento por dia,30,366.0,718.0,602.4,88.61096686232389,16.178075130945857,569.3158363572157,635.4841636427842
214,daily_extra_modules,Modulos extra por dia,30,0.0,69.0,17.266666666666666,20.24664013562767,3.6965138386575767,9.707295866611922,24.82603746672141
214,daily_avg_wait,Espera promedio diaria (mod),30,9.91304347826087,20.11111111111111,16.56217254483003,2.551179345664418,0.4657794919538904,15.609653483784324,17.514691605875736
214,daily_max_wait,Espera maxima diaria (mod),30,21.0,39.0,33.9,5.345639537881835,0.9759757863964577,31.904129516819243,35.89587048318076
214,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
214,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
214,daily_peak_pharmacy,Peak farmacia,30,9.0,9.0,9.0,0.0,0.0,9.0,9.0
215,daily_sessions,Sesiones por dia,30,25.0,47.0,38.5,5.600184726017281,1.0224491668785176,36.40909145373343,40.59090854626657
215,daily_unique_patients,Pacientes unicos por dia,30,25.0,47.0,38.5,5.600184726017281,1.0224491668785176,36.40909145373343,40.59090854626657
215,daily_treatment_modules,Modulos tratamiento por dia,30,395.0,719.0,601.5666666666667,87.09316586408995,15.90096384943366,569.0491955945749,634.0841377387585
215,daily_extra_modules,Modulos extra por dia,30,0.0,70.0,16.8,20.851527687355468,3.8069506909360395,9.0147858370358,24.5852141629642
