dia,ocupacion_modulos,capacidad_ordinaria_K,capacidad_extra_K_ext,capacidad_total,modulos_extra_usados,holgura_yt,n_sesiones,pct_ocupacion,pct_ocupacion_total
255,682.0,720,120,840,0.0,0.0,42,94.7,81.2
256,642.0,720,120,840,0.0,0.0,41,89.2,76.4
257,624.0,720,120,840,0.0,0.0,42,86.7,74.3
258,661.0,720,120,840,0.0,0.0,44,91.8,78.7
259,611.0,720,120,840,0.0,0.0,39,84.9,72.7
260,589.0,720,120,840,0.0,0.0,38,81.8,70.1
261,503.0,720,120,840,0.0,0.0,32,69.9,59.9
262,556.0,720,120,840,0.0,0.0,35,77.2,66.2
263,469.0,720,120,840,0.0,0.0,32,65.1,55.8
264,592.0,720,120,840,0.0,0.0,38,82.2,70.5
265,606.0,720,120,840,0.0,0.0,40,84.2,72.1
266,584.0,720,120,840,0.0,0.0,38,81.1,69.5
267,645.0,720,120,840,0.0,0.0,42,89.6,76.8
268,575.0,720,120,840,0.0,0.0,35,79.9,68.5
269,693.0,720,120,840,0.0,0.0,43,96.2,82.5
270,627.0,720,120,840,0.0,0.0,41,87.1,74.6
271,598.0,720,120,840,0.0,0.0,39,83.1,71.2
272,688.0,720,120,840,0.0,0.0,43,95.6,81.9
273,597.0,720,120,840,0.0,0.0,38,82.9,71.1
274,570.0,720,120,840,0.0,0.0,38,79.2,67.9
275,486.0,720,120,840,0.0,0.0,30,67.5,57.9
276,613.0,720,120,840,0.0,0.0,38,85.1,73.0
277,564.0,720,120,840,0.0,0.0,37,78.3,67.1
278,713.0,720,120,840,0.0,0.0,47,99.0,84.9
279,670.0,720,120,840,0.0,0.0,45,93.1,79.8
280,598.0,720,120,840,0.0,0.0,38,83.1,71.2
281,623.0,720,120,840,0.0,0.0,40,86.5,74.2
282,575.0,720,120,840,0.0,0.0,36,79.9,68.5
283,569.0,720,120,840,0.0,0.0,36,79.0,67.7
284,497.0,720,120,840,0.0,0.0,33,69.0,59.2
285,535.0,720,120,840,0.0,0.0,34,74.3,63.7
286,522.0,720,120,840,0.0,0.0,35,72.5,62.1
287,567.0,720,120,840,0.0,0.0,37,78.8,67.5
288,608.0,720,120,840,0.0,0.0,40,84.4,72.4
289,472.0,720,120,840,0.0,0.0,30,65.6,56.2
290,635.0,720,120,840,0.0,0.0,40,88.2,75.6
291,619.0,720,120,840,0.0,0.0,41,86.0,73.7
292,679.0,720,120,840,0.0,0.0,44,94.3,80.8
293,689.0,720,120,840,0.0,0.0,43,95.7,82.0
294,581.0,720,120,840,0.0,0.0,37,80.7,69.2
295,563.0,720,120,840,0.0,0.0,37,78.2,67.0
296,617.0,720,120,840,0.0,0.0,38,85.7,73.5
297,675.0,720,120,840,0.0,0.0,41,93.8,80.4
298,591.0,720,120,840,0.0,0.0,38,82.1,70.4
299,601.0,720,120,840,0.0,0.0,41,83.5,71.5
300,641.0,720,120,840,0.0,0.0,43,89.0,76.3
301,543.0,720,120,840,0.0,0.0,35,75.4,64.6
302,556.0,720,120,840,0.0,0.0,36,77.2,66.2
303,488.0,720,120,840,0.0,0.0,31,67.8,58.1
304,521.0,720,120,840,0.0,0.0,33,72.4,62.0
305,446.0,720,120,840,0.0,0.0,30,61.9,53.1
306,615.0,720,120,840,0.0,0.0,38,85.4,73.2
307,538.0,720,120,840,0.0,0.0,36,74.7,64.0
308,544.0,720,120,840,0.0,0.0,35,75.6,64.8
309,669.0,720,120,840,0.0,0.0,43,92.9,79.6
310,588.0,720,120,840,0.0,0.0,37,81.7,70.0
311,698.0,720,120,840,0.0,0.0,44,96.9,83.1
312,625.0,720,120,840,0.0,0.0,41,86.8,74.4
313,573.0,720,120,840,0.0,0.0,38,79.6,68.2
314,660.0,720,120,840,0.0,0.0,41,91.7,78.6
315,538.0,720,120,840,0.0,0.0,34,74.7,64.0
316,517.0,720,120,840,0.0,0.0,34,71.8,61.5
317,515.0,720,120,840,0.0,0.0,32,71.5,61.3
318,627.0,720,120,840,0.0,0.0,38,87.1,74.6
319,560.0,720,120,840,0.0,0.0,37,77.8,66.7
320,719.0,720,120,840,0.0,0.0,46,99.9,85.6
321,616.0,720,120,840,0.0,0.0,41,85.6,73.3
322,527.0,720,120,840,0.0,0.0,34,73.2,62.7
323,608.0,720,120,840,0.0,0.0,38,84.4,72.4
324,630.0,720,120,840,0.0,0.0,39,87.5,75.0
325,568.0,720,120,840,0.0,0.0,36,78.9,67.6
326,508.0,720,120,840,0.0,0.0,33,70.6,60.5
327,503.0,720,120,840,0.0,0.0,32,69.9,59.9
328,546.0,720,120,840,0.0,0.0,37,75.8,65.0
329,541.0,720,120,840,0.0,0.0,34,75.1,64.4
330,624.0,720,120,840,0.0,0.0,40,86.7,74.3
331,511.0,720,120,840,0.0,0.0,32,71.0,60.8
332,577.0,720,120,840,0.0,0.0,37,80.1,68.7
333,610.0,720,120,840,0.0,0.0,40,84.7,72.6
334,656.0,720,120,840,0.0,0.0,42,91.1,78.1
335,635.0,720,120,840,0.0,0.0,39,88.2,75.6
336,537.0,720,120,840,0.0,0.0,34,74.6,63.9
