replica,input_solution,output_xlsx,log_file,returncode,status,elapsed_seconds
21,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-21.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-21.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-21.txt,0,OK,12660.98
22,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-22.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-22.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-22.txt,0,OK,12956.05
23,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-23.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-23.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-23.txt,0,OK,14031.76
24,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-24.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-24.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-24.txt,0,OK,12648.88
25,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-25.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-25.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-25.txt,0,OK,7320.32
26,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-26.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-26.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-26.txt,0,OK,6229.17
27,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-27.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-27.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-27.txt,0,OK,3503.73
28,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-28.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-28.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-28.txt,0,OK,2516.15
29,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-29.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-29.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-29.txt,0,OK,1342.56
30,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo Interdia Farmacia Anticipada H450 EarlyCap250/resultados_farmacia_anticipada_h450_earlycap250/solution_interday_farmacia_anticipada_h450_earlycap250-30.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/solution_intradia-30.xlsx,/Users/beatrizorchard/Desktop/Capstone/CapstoneG15/Modelo INTRAdia V2 Farmacia Anticipada 24h Farmacia Tardia/resultados_intradia_farmacia_tardia_30_replicas/log_intradia-30.txt,0,OK,1299.99
