day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
86,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
86,daily_peak_pharmacy,Peak farmacia,30,3.0,9.0,8.666666666666666,1.2129568697262458,0.22145461294330665,8.213791983197604,9.119541350135728
87,daily_sessions,Sesiones por dia,30,17.0,49.0,28.6,7.237831643285973,1.3214412194841374,25.89765270615494,31.302347293845063
87,daily_unique_patients,Pacientes unicos por dia,30,17.0,35.0,26.533333333333335,4.833313515615337,0.8824382799990392,24.7287470507353,28.33791961593137
87,daily_treatment_modules,Modulos tratamiento por dia,30,222.0,551.0,415.73333333333335,75.91280539532514,13.859718639506486,387.3902087155426,444.0764579511241
87,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,daily_avg_wait,Espera promedio diaria (mod),30,5.545454545454546,13.764705882352942,10.36161076617743,2.12025798568087,0.38710437549595933,9.569982318288194,11.153239214066666
87,daily_max_wait,Espera maxima diaria (mod),30,11.0,32.0,22.266666666666666,4.5023620875953645,0.822015092477344,20.5856458025505,23.947687530782833
87,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
87,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
87,daily_peak_pharmacy,Peak farmacia,30,9.0,9.0,9.0,0.0,0.0,9.0,9.0
88,daily_sessions,Sesiones por dia,30,21.0,42.0,29.933333333333334,5.765135003553291,1.052564829502921,27.78083825699986,32.08582840966681
88,daily_unique_patients,Pacientes unicos por dia,30,17.0,37.0,27.133333333333333,4.761435116413547,0.8693151397856455,25.355583872471687,28.91108279419498
88,daily_treatment_modules,Modulos tratamiento por dia,30,269.0,609.0,425.53333333333336,77.2500344083545,14.103862137835335,396.6909352614601,454.37573140520664
88,daily_extra_modules,Modulos extra por dia,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,daily_avg_wait,Espera promedio diaria (mod),30,2.7058823529411766,15.432432432432432,10.418169433860253,2.858315606284646,0.521854644677052,9.350976685495683,11.485362182224824
88,daily_max_wait,Espera maxima diaria (mod),30,14.0,33.0,22.7,4.91408952523954,0.8971858941911827,20.86525484637903,24.534745153620968
88,daily_peak_chairs,Peak sillas,30,15.0,15.0,15.0,0.0,0.0,15.0,15.0
88,daily_peak_nurses,Peak enfermeria,30,4.0,4.0,4.0,0.0,0.0,4.0,4.0
88,daily_peak_pharmacy,Peak farmacia,30,1.0,9.0,8.533333333333333,1.6131642354623144,0.2945221469077616,7.931035542906961,9.135631123759705
89,daily_sessions,Sesiones por dia,30,18.0,49.0,28.766666666666666,6.3064462550485665,1.1513942905280259,26.412065342536852,31.12126799079648
