day,kpi,label,n,min,max,mean,std,se,ci95_low,ci95_high
237,daily_avg_wait,Espera promedio diaria (mod),4,10.56,18.414634146341463,14.50372045609001,3.2487032544574035,1.6243516272287017,9.33503357824828,19.672407333931737
237,daily_max_wait,Espera maxima diaria (mod),4,21.0,38.0,30.75,7.088723439378913,3.5443617196894563,19.47184100794815,42.02815899205185
237,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
237,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
237,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
238,daily_sessions,Sesiones por dia,4,30.0,44.0,37.0,6.2182527020592095,3.1091263510296048,27.106759951023797,46.8932400489762
238,daily_unique_patients,Pacientes unicos por dia,4,30.0,44.0,37.0,6.2182527020592095,3.1091263510296048,27.106759951023797,46.8932400489762
238,daily_treatment_modules,Modulos tratamiento por dia,4,498.0,698.0,582.25,86.61168127529527,43.305840637647634,444.4508150910052,720.0491849089948
238,daily_extra_modules,Modulos extra por dia,4,0.0,49.0,12.25,24.5,12.25,-26.7295,51.2295
238,daily_avg_wait,Espera promedio diaria (mod),4,12.533333333333333,19.954545454545453,15.480425579322638,3.2940018607517842,1.6470009303758921,10.239668618866549,20.721182539778727
238,daily_max_wait,Espera maxima diaria (mod),4,23.0,40.0,31.5,7.047458170621991,3.5237290853109955,20.287494050540413,42.71250594945958
238,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
238,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
238,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
239,daily_sessions,Sesiones por dia,4,36.0,45.0,39.25,4.031128874149275,2.0155644370746373,32.836473961228506,45.663526038771494
239,daily_unique_patients,Pacientes unicos por dia,4,36.0,45.0,39.25,4.031128874149275,2.0155644370746373,32.836473961228506,45.663526038771494
239,daily_treatment_modules,Modulos tratamiento por dia,4,543.0,698.0,610.75,65.42871438952983,32.714357194764915,506.65291540625805,714.847084593742
239,daily_extra_modules,Modulos extra por dia,4,0.0,49.0,15.5,22.84002335083453,11.420011675417266,-20.83847715117774,51.83847715117774
239,daily_avg_wait,Espera promedio diaria (mod),4,14.555555555555555,19.355555555555554,16.847320397320395,1.9925622224278112,0.9962811112139056,13.677153901437748,20.017486893203042
239,daily_max_wait,Espera maxima diaria (mod),4,32.0,39.0,35.0,2.943920288775949,1.4719601443879744,30.316222820557464,39.68377717944254
239,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
239,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
239,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
240,daily_sessions,Sesiones por dia,4,33.0,44.0,39.5,4.654746681256314,2.327373340628157,32.0942980301212,46.9057019698788
240,daily_unique_patients,Pacientes unicos por dia,4,33.0,44.0,39.5,4.654746681256314,2.327373340628157,32.0942980301212,46.9057019698788
240,daily_treatment_modules,Modulos tratamiento por dia,4,525.0,668.0,615.25,65.03524685378947,32.51762342689474,511.77892225562096,718.721077744379
240,daily_extra_modules,Modulos extra por dia,4,0.0,23.0,14.75,10.90489186863706,5.45244593431853,-2.5996829630015625,32.09968296300156
240,daily_avg_wait,Espera promedio diaria (mod),4,13.303030303030303,18.146341463414632,16.653820214338506,2.2875044305735863,1.1437522152867932,13.01440066529593,20.29323976338108
240,daily_max_wait,Espera maxima diaria (mod),4,26.0,38.0,34.25,5.560275772537426,2.780137886268713,25.403601245892958,43.09639875410704
240,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
240,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
240,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
241,daily_sessions,Sesiones por dia,4,39.0,45.0,42.25,2.5,1.25,38.2725,46.2275
241,daily_unique_patients,Pacientes unicos por dia,4,39.0,45.0,42.25,2.5,1.25,38.2725,46.2275
241,daily_treatment_modules,Modulos tratamiento por dia,4,617.0,681.0,641.5,27.8268455512538,13.9134227756269,597.2274887279552,685.7725112720448
241,daily_extra_modules,Modulos extra por dia,4,9.0,32.0,16.75,10.3400515794974,5.1700257897487,0.29897793701963593,33.201022062980364
241,daily_avg_wait,Espera promedio diaria (mod),4,17.46153846153846,18.333333333333332,17.83174674163046,0.3757991652910518,0.1878995826455259,17.233850269652397,18.429643213608525
241,daily_max_wait,Espera maxima diaria (mod),4,36.0,38.0,36.75,0.9574271077563381,0.47871355387816905,35.22673347155967,38.27326652844033
241,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
241,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
241,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
242,daily_sessions,Sesiones por dia,4,38.0,44.0,40.0,2.8284271247461903,1.4142135623730951,35.49997244452881,44.50002755547119
242,daily_unique_patients,Pacientes unicos por dia,4,38.0,44.0,40.0,2.8284271247461903,1.4142135623730951,35.49997244452881,44.50002755547119
242,daily_treatment_modules,Modulos tratamiento por dia,4,591.0,705.0,629.25,52.18157401484423,26.090787007422115,546.2291157423829,712.2708842576171
242,daily_extra_modules,Modulos extra por dia,4,4.0,56.0,18.25,25.1975527912269,12.59877639561345,-21.839306490842,58.339306490842
242,daily_avg_wait,Espera promedio diaria (mod),4,16.275,19.136363636363637,17.148893540669857,1.3386126126922393,0.6693063063461197,15.019160873876505,19.27862620746321
242,daily_max_wait,Espera maxima diaria (mod),4,34.0,38.0,35.5,1.7320508075688772,0.8660254037844386,32.74430716515791,38.25569283484209
242,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
242,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
242,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
243,daily_sessions,Sesiones por dia,4,29.0,44.0,34.75,6.898067362191626,3.449033681095813,23.775174826753123,45.72482517324688
243,daily_unique_patients,Pacientes unicos por dia,4,29.0,44.0,34.75,6.898067362191626,3.449033681095813,23.775174826753123,45.72482517324688
243,daily_treatment_modules,Modulos tratamiento por dia,4,466.0,657.0,545.0,88.44960900610772,44.22480450305386,404.27667207128263,685.7233279287174
243,daily_extra_modules,Modulos extra por dia,4,0.0,12.0,3.0,6.0,3.0,-6.545999999999999,12.546
243,daily_avg_wait,Espera promedio diaria (mod),4,12.033333333333333,18.0,14.50713601532567,2.7239988314632884,1.3619994157316442,10.17325387446758,18.84101815618376
243,daily_max_wait,Espera maxima diaria (mod),4,23.0,36.0,28.75,6.751543033509698,3.375771516754849,18.00829503368607,39.49170496631393
243,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
243,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
243,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
244,daily_sessions,Sesiones por dia,4,36.0,39.0,37.25,1.5,0.75,34.8635,39.6365
244,daily_unique_patients,Pacientes unicos por dia,4,36.0,39.0,37.25,1.5,0.75,34.8635,39.6365
244,daily_treatment_modules,Modulos tratamiento por dia,4,562.0,623.0,588.75,26.825050481468498,13.412525240734249,546.0713446839836,631.4286553160164
244,daily_extra_modules,Modulos extra por dia,4,0.0,16.0,6.0,6.928203230275509,3.4641016151377544,-5.022771339368335,17.022771339368333
244,daily_avg_wait,Espera promedio diaria (mod),4,15.0,17.615384615384617,16.171390013495277,1.091763293838752,0.545881646919376,14.434394612997822,17.908385413992733
244,daily_max_wait,Espera maxima diaria (mod),4,33.0,36.0,34.5,1.2909944487358056,0.6454972243679028,32.44602783206133,36.55397216793867
244,daily_peak_chairs,Peak sillas,4,15.0,15.0,15.0,0.0,0.0,15.0,15.0
244,daily_peak_nurses,Peak enfermeria,4,4.0,4.0,4.0,0.0,0.0,4.0,4.0
244,daily_peak_pharmacy,Peak farmacia,4,9.0,9.0,9.0,0.0,0.0,9.0,9.0
245,daily_sessions,Sesiones por dia,4,34.0,39.0,36.0,2.160246899469287,1.0801234497346435,32.563047182944366,39.436952817055634
245,daily_unique_patients,Pacientes unicos por dia,4,34.0,39.0,36.0,2.160246899469287,1.0801234497346435,32.563047182944366,39.436952817055634
245,daily_treatment_modules,Modulos tratamiento por dia,4,525.0,660.0,586.75,55.51801509420163,27.759007547100815,498.4208379851252,675.0791620148748
245,daily_extra_modules,Modulos extra por dia,4,0.0,17.0,6.25,8.098353742170895,4.049176871085447,-6.634480803793894,19.134480803793892
